stock_code,exchange,short_name,legal_full_name,year,official_name_normalized,listed_by_year_end,leading_firm_it_candidate,final_variable_status,evidence_event_year,evidence_event_type,evidence_list_type,evidence_document_number,evidence_document_date,evidence_source_url,annual_timing_rule,coverage_status,list_date,source_url,retrieved_date
000423,深圳证券交易所,东阿阿胶,东阿阿胶股份有限公司,2019,东阿阿胶股份有限公司,1,1,候选；须核对该年度法人名称、退市时点及主体关系,2019,recognition,第六批新认定名单,农产发〔2019〕3号,2019-11-26,https://www.moa.gov.cn/nybgb/2019/201912/202004/P020200410023357640054.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,1996-07-29,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000423,2026-08-06
000423,深圳证券交易所,东阿阿胶,东阿阿胶股份有限公司,2020,东阿阿胶股份有限公司,1,1,候选；须核对该年度法人名称、退市时点及主体关系,2019,recognition,第六批新认定名单,农产发〔2019〕3号,2019-11-26,https://www.moa.gov.cn/nybgb/2019/201912/202004/P020200410023357640054.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,1996-07-29,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000423,2026-08-06
000423,深圳证券交易所,东阿阿胶,东阿阿胶股份有限公司,2021,东阿阿胶股份有限公司,1,1,候选；须核对该年度法人名称、退市时点及主体关系,2019,recognition,第六批新认定名单,农产发〔2019〕3号,2019-11-26,https://www.moa.gov.cn/nybgb/2019/201912/202004/P020200410023357640054.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,1996-07-29,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000423,2026-08-06
000423,深圳证券交易所,东阿阿胶,东阿阿胶股份有限公司,2022,东阿阿胶股份有限公司,1,1,候选；须核对该年度法人名称、退市时点及主体关系,2019,recognition,第六批新认定名单,农产发〔2019〕3号,2019-11-26,https://www.moa.gov.cn/nybgb/2019/201912/202004/P020200410023357640054.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,1996-07-29,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000423,2026-08-06
000423,深圳证券交易所,东阿阿胶,东阿阿胶股份有限公司,2023,东阿阿胶股份有限公司,1,1,候选；须核对该年度法人名称、退市时点及主体关系,2023,monitor_pass,第十次监测合格名单,农产发〔2023〕3号,2023-05-12,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,1996-07-29,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000423,2026-08-06
000538,深圳证券交易所,云南白药,云南白药集团股份有限公司,2018,云南白药集团股份有限公司,1,1,候选；须核对该年度法人名称、退市时点及主体关系,2018,monitor_pass,第八次监测合格名单,农产发〔2018〕1号,2018-11-29,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,1993-12-15,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000538,2026-08-06
000538,深圳证券交易所,云南白药,云南白药集团股份有限公司,2019,云南白药集团股份有限公司,1,1,候选；须核对该年度法人名称、退市时点及主体关系,2018,monitor_pass,第八次监测合格名单,农产发〔2018〕1号,2018-11-29,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,1993-12-15,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000538,2026-08-06
000538,深圳证券交易所,云南白药,云南白药集团股份有限公司,2020,云南白药集团股份有限公司,1,1,候选；须核对该年度法人名称、退市时点及主体关系,2020,monitor_pass,第九次监测合格名单,农产发〔2020〕6号,2020-11-20,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,1993-12-15,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000538,2026-08-06
000538,深圳证券交易所,云南白药,云南白药集团股份有限公司,2021,云南白药集团股份有限公司,1,1,候选；须核对该年度法人名称、退市时点及主体关系,2020,monitor_pass,第九次监测合格名单,农产发〔2020〕6号,2020-11-20,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,1993-12-15,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000538,2026-08-06
000538,深圳证券交易所,云南白药,云南白药集团股份有限公司,2022,云南白药集团股份有限公司,1,1,候选；须核对该年度法人名称、退市时点及主体关系,2020,monitor_pass,第九次监测合格名单,农产发〔2020〕6号,2020-11-20,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,1993-12-15,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000538,2026-08-06
